id,entity_id,name,category_code,status,founded_at,Current Date,years_old,closed_at,tag_list,country_code,state_code,first_investment_at,investment_rounds,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,acquired_at,acquiring_object_id,price_amount,price_currency_code,valuation_amount,raised_amount,ipo_date,funding_sum_usd,maks_fund
c:152173,152173,Enel OGK-5,cleantech,operating,01/01/04,5585,15,NULL,,RUS,NULL,NULL,NULL,16/03/12,16/03/12,1,625000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,625000000,4
c:760,760,Demand Media,news,ipo,01/06/06,4703,13,NULL,"content, studio, socialmedia, registrar",USA,CA,NULL,NULL,01/04/06,04/09/13,7,622552813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,622552813,8
c:31006,31006,Palantir Technologies,analytics,operating,01/01/04,5585,15,NULL,visualization,USA,CA,NULL,NULL,01/09/05,10/12/13,10,605008017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,605008017,7
c:33777,33777,Vertex Pharmaceuticals,biotech,ipo,01/01/89,11063,30,NULL,,GBR,NULL,NULL,NULL,30/09/09,03/12/09,3,598000000,NULL,NULL,NULL,NULL,NULL,NULL,02/08/91,598000000,9
c:207187,207187,Sina Weibo,web,operating,14/08/09,3533,10,NULL,,CHN,NULL,NULL,NULL,29/04/13,29/04/13,1,586000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,586000000,8
c:1364,1364,ZeniMax,games_video,operating,01/01/99,7411,20,NULL,NULL,USA,MD,NULL,NULL,01/10/07,21/11/13,7,585774337,NULL,NULL,NULL,NULL,NULL,NULL,NULL,585774337,8
c:18028,18028,Qihoo 360 Technology,web,ipo,01/06/05,5068,14,NULL,,NULL,NULL,14/11/13,2,01/11/06,28/08/13,2,575000000,NULL,NULL,NULL,NULL,NULL,NULL,08/04/11,575000000,6
c:58846,58846,Pinterest,social,operating,01/01/09,3758,10,NULL,pinterest,USA,CA,NULL,NULL,01/01/10,23/10/13,6,562500000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,562500000,7
c:29986,29986,GreatPoint Energy,cleantech,operating,01/01/04,5585,15,NULL,"energy, clean-energy, coal, natural-gas, bluegas, cleantech, hydromethanation, funded, andrew-perlman, massachusetts, daniel-goldman, dow-chemical, dow",USA,MA,NULL,NULL,15/11/05,17/02/12,5,562000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,562000000,7
c:41024,41024,M.Setek,semiconductor,operating,01/01/78,15081,41,NULL,"design, silicon, wafer",JPN,NULL,NULL,NULL,29/01/10,29/01/10,1,540000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,540000000,4
c:48951,48951,Flipkart,ecommerce,operating,01/10/07,4216,12,NULL,"ecommerce, online-shopping, india",IND,NULL,NULL,NULL,16/06/10,08/10/13,5,540000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,540000000,7
c:4781,4781,Spotify,music,operating,01/01/06,4854,13,NULL,"music-streaming, streaming, music, cloud",LUX,NULL,NULL,NULL,01/10/08,21/11/13,7,537779080,NULL,NULL,NULL,NULL,NULL,NULL,NULL,537779080,7
c:256634,256634,S.A.C. Re,other,operating,01/07/12,2481,7,NULL,,BMU,NULL,NULL,NULL,07/06/12,07/06/12,1,526666000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,526666000,3
c:1668,1668,Nanosolar,nanotech,operating,01/01/02,6315,17,NULL,"solarpanels, panelprinting, cleantech, solarpower",USA,CA,NULL,NULL,24/06/03,01/06/12,6,520000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,520000000,8
c:16620,16620,Mobileye,automotive,operating,01/01/99,7411,20,NULL,,NLD,NULL,NULL,NULL,11/05/06,07/07/13,3,515000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515000000,8
c:2312,2312,HomeAway,travel,ipo,01/02/05,5188,14,NULL,,USA,TX,NULL,NULL,01/01/05,01/10/10,6,513066458,NULL,NULL,NULL,NULL,3000000000,216000000,29/06/11,513066458,7
c:281988,281988,Rouse Properties,real_estate,ipo,01/01/12,2663,7,NULL,,USA,NY,NULL,NULL,25/11/13,25/11/13,1,510000000,NULL,NULL,NULL,NULL,NULL,NULL,13/01/12,510000000,5
c:1663,1663,A123 Systems,nanotech,ipo,01/01/01,6680,18,NULL,"cleantech, batteries",USA,MA,01/05/10,2,01/11/05,07/06/12,8,502860000,NULL,NULL,NULL,NULL,380436764,NULL,24/09/09,502860000,7
c:8092,8092,Datapipe,network_hosting,operating,01/01/98,7776,21,NULL,,USA,NJ,NULL,NULL,08/07/08,31/05/13,3,487358426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,487358426,8
c:140129,140129,SoFi (Social Finance),finance,operating,01/04/11,2938,8,NULL,"community, lending, finance, student-loans, students, alumni, social-finance, social, education, college",USA,CA,NULL,NULL,15/03/12,20/09/13,7,482199900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,482199900,6
c:2381,2381,Renren Inc.,web,operating,01/01/02,6315,17,NULL,NULL,CHN,NULL,NULL,NULL,11/03/06,30/04/08,2,478000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,478000000,4
c:1639,1639,Deem,ecommerce,operating,01/01/00,7046,19,NULL,"syndicate, productivity, commerce, commerce-as-a-service, caas, syndication, deals, daily-deals, save, sell, buyer, seller, merchant, network",USA,CA,NULL,NULL,01/01/04,24/09/13,10,466905435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,466905435,7
c:26303,26303,MiaSolÂ´â”Â¢,cleantech,acquired,01/01/01,6680,18.30136986,NULL,,USA,CA,NULL,NULL,31/10/06,07/03/12,5,466000000,29/09/12,c:173072,30000000,USD,NULL,NULL,NULL,466000000,7
c:25404,25404,Bigpoint,games_video,operating,01/01/02,6315,17.30136986,NULL,"online-games, browser-games, browsergames, browser-based-online-games, free-to-play, game-portal, publisher, content-provider, developer, games, mmo, mmog",DEU,NULL,NULL,NULL,09/06/08,26/04/11,2,460488000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,460488000,7
c:22569,22569,Invenergy,cleantech,operating,01/01/01,6680,18.30136986,NULL,,USA,IL,NULL,NULL,21/01/09,29/01/10,3,459000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,459000000,4
c:26016,26016,SoloPower,cleantech,operating,01/01/05,5219,14.29863014,NULL,"cells, modules, global-scale, solar-electricity",USA,CA,NULL,NULL,05/03/07,15/10/12,10,458089999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,458089999,7
c:238339,238339,Sogou,search,operating,04/08/04,5369,14.70958904,NULL,,CHN,NULL,NULL,NULL,10/09/13,10/09/13,1,448000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,448000000,8
c:32778,32778,Crucell,biotech,acquired,01/01/93,9602,26.30684932,NULL,biotech,NLD,NULL,NULL,NULL,28/09/09,28/09/09,1,443000000,22/02/11,c:12137,2300000000,USD,NULL,NULL,29/03/11,443000000,4
c:24028,24028,Intrexon Corporation,biotech,ipo,01/01/98,7776,21.30410959,NULL,,USA,VA,NULL,NULL,17/05/05,02/05/13,11,437592352,NULL,NULL,NULL,NULL,NULL,160000000,08/08/13,437592352,8
c:177235,177235,Lazada Group,ecommerce,operating,01/02/12,2632,7.210958904,NULL,anason-nigeria-limited,MYS,NULL,NULL,NULL,11/11/12,09/12/13,5,436000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,436000000,7
c:13246,13246,First Solar,cleantech,ipo,01/01/99,7411,20.30410959,NULL,NULL,USA,AZ,30/10/08,1,18/06/13,18/06/13,1,427700000,NULL,NULL,NULL,NULL,NULL,NULL,24/11/06,427700000,9
c:183,183,Box,network_hosting,operating,01/01/05,5219,14.29863014,NULL,"box-net, file-sharing, backup, storage, share, cloud, cloud-computing, saas",USA,CA,NULL,NULL,01/10/06,05/12/13,9,408600000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408600000,7
c:874,874,Jawbone,hardware,operating,01/01/99,7411,20.30410959,NULL,"bluetooth, bluetoothheadset, noise, activity-tracking, weight-loss, fatsecret",USA,CA,NULL,NULL,15/12/06,12/09/13,11,402947072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,402947072,8
c:16807,16807,Brash Entertainment,games_video,operating,01/01/07,4489,12.29863014,NULL,,NULL,NULL,NULL,NULL,03/06/07,03/06/07,1,400000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,400000000,3
c:68409,68409,Fanatics,ecommerce,acquired,01/01/95,8872,24.30684932,NULL,,USA,FL,NULL,NULL,07/06/12,06/06/13,2,395000000,09/02/11,c:28712,NULL,USD,NULL,NULL,NULL,395000000,4
c:68409,68409,Fanatics,ecommerce,acquired,01/01/95,8872,24.30684932,NULL,,USA,FL,NULL,NULL,07/06/12,06/06/13,2,395000000,01/06/11,c:104020,NULL,USD,NULL,NULL,NULL,395000000,4
c:36871,36871,GENBAND,network_hosting,operating,01/01/99,7411,20.30410959,NULL,"broadband, voip, gateways, networking",USA,TX,NULL,NULL,01/03/05,04/01/13,5,394462863,NULL,NULL,NULL,NULL,NULL,NULL,NULL,394462863,8
c:36004,36004,Qunar.com,ecommerce,ipo,01/01/05,5219,14.29863014,NULL,,CHN,NULL,01/01/12,1,21/11/07,14/04/13,4,388000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,388000000,8
c:21715,21715,Symphogen,biotech,operating,01/01/00,7046,19.30410959,NULL,,DNK,NULL,NULL,NULL,10/01/06,03/05/13,6,387185400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,387185400,8
c:225650,225650,Billabong International,fashion,operating,01/01/73,16907,46.32054795,NULL,NULL,AUS,NULL,NULL,NULL,20/07/12,16/07/13,2,382106890,NULL,NULL,NULL,NULL,NULL,NULL,NULL,382106890,8
c:33592,33592,Intarcia Therapeutics,biotech,operating,01/01/97,8141,22.30410959,NULL,,USA,CA,NULL,NULL,20/03/07,16/11/12,8,380097291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,380097291,7
c:242043,242043,Rearden Commerce,software,operating,01/01/99,7411,20.30410959,NULL,NULL,USA,CA,NULL,NULL,08/12/09,08/10/13,8,379540147,NULL,NULL,NULL,NULL,NULL,NULL,NULL,379540147,7
c:51655,51655,Reata Pharmaceuticals,biotech,operating,01/01/02,6315,17.30136986,NULL,,USA,TX,NULL,NULL,12/07/10,13/07/11,2,378000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,378000000,8
c:5990,5990,VMware,software,acquired,01/01/98,7776,21.30410959,NULL,,USA,CA,03/11/09,9,09/07/07,30/07/07,2,368500000,09/01/04,c:966,635000000,USD,NULL,957000000,14/08/07,368500000,4
c:24982,24982,Clovis Oncology,biotech,ipo,01/01/09,3758,10.29589041,NULL,,USA,CO,20/01/12,1,26/05/09,27/11/13,3,356962756,NULL,NULL,NULL,NULL,NULL,130000000,16/11/11,356962756,4
c:10272,10272,TRUECar,transportation,operating,01/01/05,5219,14.29863014,NULL,"techcrunch50, tc50, new-car-pricing, new-car, automotive, auto-retail, online-car-buying, car-buying, new-car-buying, truecar-certified-dealers",USA,CA,NULL,NULL,01/09/07,12/12/13,7,351600000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,351600000,7
c:1728,1728,Boston Power,cleantech,operating,01/01/05,5219,14.29863014,NULL,"lithium-ion, battery, technology",USA,MA,NULL,NULL,01/11/06,22/12/11,8,350600000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,350600000,7
c:64791,64791,Xiaomi,hardware,operating,04/04/10,3300,9.04109589,NULL,,CHN,NULL,01/08/13,1,01/12/10,22/08/13,4,347000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,347000000,7
c:22784,22784,Square,mobile,operating,01/02/09,3727,10.2109589,NULL,"iphone-app, mobile-app, mobile-payment, credit-card-payment, square",USA,CA,NULL,NULL,01/11/09,17/09/12,5,340500000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,340500000,7
c:23972,23972,Sunrun,cleantech,operating,01/01/07,4489,12.29863014,NULL,,USA,CA,NULL,NULL,20/06/08,24/10/13,7,336600000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,336600000,7
c:169876,169876,Fab.com,ecommerce,operating,09/06/11,2869,7.860273973,NULL,"app, design, marketplace",USA,NY,NULL,NULL,28/01/10,12/08/13,11,336325000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,336325000,7
c:1071,1071,Ancestry,ecommerce,ipo,01/01/83,13255,36.31506849,NULL,"ancestry, family, relatives, family-tree, geni, the-generations-network, family-history, historical-records",USA,UT,NULL,NULL,01/09/99,01/08/10,3,333200000,NULL,NULL,NULL,NULL,NULL,NULL,13/11/09,333200000,6
c:84321,84321,OnDeck,finance,operating,01/01/07,4489,12.29863014,NULL,online-loans,USA,VA,NULL,NULL,01/01/06,16/09/13,7,332000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,332000000,7
c:18871,18871,Concur Technologies,software,ipo,01/08/93,9390,25.7260274,NULL,,USA,WA,18/02/09,9,08/04/10,09/02/11,2,331284092,NULL,NULL,NULL,NULL,NULL,NULL,25/12/98,331284092,5
c:9743,9743,Palo Alto Networks,security,ipo,01/01/05,5219,14.29863014,NULL,"firewall, intrusion-detection, ips, spi",USA,CA,NULL,NULL,01/01/06,09/07/12,5,328600000,NULL,NULL,NULL,NULL,NULL,NULL,27/07/12,328600000,9
c:9049,9049,Airbnb,travel,operating,01/01/07,4489,12.29863014,NULL,"travel, hotels, peer-to-peer, smart, community, shareable, mesh, sharing-economy, money",USA,CA,NULL,NULL,01/01/09,01/11/12,6,326441000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326441000,7
c:22295,22295,Sonos,mobile,operating,30/06/02,6135,16.80821918,NULL,"music, wireless, connected-entertainment, consumer-electronics, santa-barbara, iphone",USA,CA,NULL,NULL,01/01/05,06/11/13,8,323950000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,323950000,7
c:218712,218712,CompuCom Systems Holding,public_relations,operating,01/01/07,4489,12.29863014,NULL,,USA,MA,NULL,NULL,24/05/13,24/05/13,1,323000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,323000000,8
c:19948,19948,Relypsa,biotech,operating,01/10/07,4216,11.55068493,NULL,,USA,CA,NULL,NULL,29/10/07,01/10/12,7,322129887,NULL,NULL,NULL,NULL,NULL,NULL,NULL,322129887,8
c:29366,29366,ConforMIS,medical,operating,01/01/04,5585,15.30136986,NULL,"knee-replacement, knee-surgery, partial-knee-replacement, knee-implant, osteoarthritis, orthopedics, patient-specific, personalized-medicine, minimally-invasive, minimally-traumatic, knee-pain",USA,MA,NULL,NULL,10/08/09,02/08/13,5,319397585,NULL,NULL,NULL,NULL,NULL,NULL,NULL,319397585,7
c:36886,36886,Horizon Wind Energy,cleantech,acquired,01/01/98,7776,21.30410959,NULL,,USA,TX,NULL,NULL,03/12/09,29/12/09,2,318000000,27/03/07,c:272107,NULL,USD,NULL,NULL,NULL,318000000,4
c:25627,25627,SunGard,software,operating,01/01/82,13620,37.31506849,NULL,,USA,PA,NULL,NULL,21/08/09,21/08/09,1,316000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,316000000,5
c:15768,15768,Highwinds,software,operating,01/01/02,6315,17.30136986,NULL,cdn,USA,FL,NULL,NULL,01/01/60,08/08/13,4,311800000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,311800000,5
c:137742,137742,eRecycling Corps,cleantech,operating,01/01/09,3758,10.29589041,NULL,,USA,TX,NULL,NULL,01/11/08,28/10/13,4,311453228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,311453228,8
c:50890,50890,Uber,transportation,operating,01/03/09,3699,10.13424658,NULL,"uber, limo, on-demand, real-time, taxi, ubercab, car-service, traffic, commuting, mesh, design",USA,CA,NULL,NULL,01/08/09,23/08/13,5,307450000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,307450000,7
c:37739,37739,Horizon Pharma,biotech,ipo,01/01/05,5219,14.29863014,NULL,NULL,USA,IL,NULL,NULL,01/10/05,09/12/13,7,304404982,NULL,NULL,NULL,NULL,NULL,NULL,28/07/11,304404982,8
c:26540,26540,Goodman Networks,mobile,operating,01/01/00,7046,19.30410959,NULL,,USA,TX,NULL,NULL,06/07/09,17/08/11,4,301000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,301000000,5
c:20070,20070,Sangart,biotech,operating,01/01/98,7776,21.30410959,NULL,,USA,CA,NULL,NULL,12/03/09,24/05/12,4,300774578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,300774578,8
c:3658,3658,Barnes & Noble,ecommerce,ipo,01/01/17,37361,102.3589041,NULL,,USA,NY,NULL,NULL,30/04/12,30/04/12,1,300000000,NULL,NULL,NULL,NULL,2000000000,NULL,01/01/92,300000000,4
c:8661,8661,Brocade Communications Systems,network_hosting,ipo,01/01/95,8872,24.30684932,NULL,"data-center-networks, data-center",USA,CA,05/05/05,2,20/01/10,20/01/10,1,300000000,NULL,NULL,NULL,NULL,NULL,NULL,04/06/99,300000000,9
c:36920,36920,"RetailMeNot, Inc.",web,acquired,01/05/07,4369,11.96986301,NULL,,USA,TX,NULL,NULL,01/11/09,10/11/11,5,299500000,02/12/10,c:36920,NULL,USD,NULL,230000000,17/06/13,299500000,7
c:1665,1665,Kior,cleantech,ipo,01/01/07,4489,12.29863014,NULL,NULL,USA,TX,NULL,NULL,30/06/08,21/10/13,4,297920000,NULL,NULL,NULL,NULL,NULL,NULL,01/07/11,297920000,8
c:22572,22572,Elevance Renewable Sciences,cleantech,operating,01/11/07,4185,11.46575342,NULL,,USA,IL,NULL,NULL,26/03/08,10/07/12,4,294000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,294000000,7
